zip,amount - donors,amount - spending
10007,10100,75
10018,11500,103
10019,23200,163
10020,100,200
10038,10160,435
10065,55045,272
11201,73303,32446
11203,11290,8305
11204,13080,5834
11205,36060,12939
11206,26185,10332
11207,7145,11050
11208,2495,8728
11209,56765,3258
11210,49715,3502
11211,28231,5872
11212,4785,13412
11213,19500,5872
11214,21235,1522
11215,29510,4240
11216,18447,5966
11217,15300,7281
11218,16450,2594
11219,41935,3668
11220,20219,2059
11221,19341,4851
11222,19640,773
11223,85713,2435
11224,12825,3444
11225,16245,10165
11226,18875,10851
11228,28363,1135
11229,25936,3441
11230,73398,2572
11231,20410,3345
11232,13150,1505
11233,27379,13311
11234,147722,2310
11235,91510,3111
11236,24540,3460
11237,4990,3397
11238,25040,10715
11239,1425,970
11249,19175,124
